file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\test\java\io\mantisrx\runtime\core\MantisStreamImplTest.java,io.mantisrx.runtime.core.MantisStreamImplTest,testGraphApi/0,false,29,2,0,0,0,2,14,15,0,4,0,14,0,0,1,0,0,0,14,5,3,0,1,0,0,1,12,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\test\java\io\mantisrx\runtime\core\MantisStreamImplTest.java,io.mantisrx.runtime.core.MantisStreamImplTest,testTopSort/0,false,48,2,0,0,0,1,8,11,0,3,0,8,0,0,0,0,0,0,14,5,3,0,0,0,0,0,9,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous35,onCompleted/0,false,570,0,8,0,8,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous35,"onNext/1[io.reactivx.mantis.operators.GroupedObservable<java.lang.Integer,java.lang.Integer>]",false,581,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous35,onError/1[java.lang.Throwable],false,575,0,7,1,6,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous36,call/1[io.reactivx.mantis.operators.OperatorGroupByTest.Event],false,602,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous37,"call/1[io.reactivx.mantis.operators.GroupedObservable<java.lang.Integer,io.reactivx.mantis.operators.OperatorGroupByTest.Event>]",false,609,3,0,0,0,2,3,17,1,1,1,3,0,0,0,0,0,0,0,1,2,0,1,2,0,0,9,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous42,call/1[java.lang.Integer],false,675,0,8,0,8,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,reset/0,false,62,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,false,52,0,0,0,0,2,2,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,isActive/0,false,68,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shutdown/0,false,73,1,2,0,2,2,4,7,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,update/1[int],false,57,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",true,39,1,1,1,0,1,2,11,0,0,2,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,17,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\main\java\io\mantisrx\common\codec\Encoder.java,io.mantisrx.common.codec.Encoder,encode/1[T],false,21,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous43,"call/1[io.reactivx.mantis.operators.GroupedObservable<java.lang.Integer,java.lang.Integer>]",false,682,4,0,0,0,2,4,23,2,0,1,4,0,0,0,0,0,0,0,2,0,0,1,3,0,0,5,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\events\WorkerMetricsCollector.java,io.mantisrx.master.events.WorkerMetricsCollector$WorkerMetricsCollectorMetrics,reportJobWorkersSize/1[int],false,226,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\master\events\WorkerMetricsCollector.java,io.mantisrx.master.events.WorkerMetricsCollector$WorkerMetricsCollectorMetrics,WorkerMetricsCollectorMetrics/0,true,215,2,0,0,0,1,4,5,0,2,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,22,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-examples\mantis-examples-core\src\main\java\com\netflix\mantis\examples\config\StageConfigs.java,com.netflix.mantis.examples.config.StageConfigs,keyToScalarConfig/0,false,34,1,0,0,0,1,4,3,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,9,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-examples\mantis-examples-core\src\main\java\com\netflix\mantis\examples\config\StageConfigs.java,com.netflix.mantis.examples.config.StageConfigs,scalarToKeyConfig/0,false,41,1,0,0,0,1,5,3,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,9,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-examples\mantis-examples-core\src\main\java\com\netflix\mantis\examples\config\StageConfigs.java,com.netflix.mantis.examples.config.StageConfigs,scalarToScalarConfig/0,false,29,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,shouldNotConstructWorkerPortsWithInvalidPortRange/0,false,54,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,1,0,true
