file,class,method,variable,usage
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,toString/0,user,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,terminatedAt,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,name,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,state,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,submittedAt,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,version,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,hashCode/0,user,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,getJobId/0,jobId,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-control-plane\mantis-control-plane-server\src\main\java\io\mantisrx\server\master\domain\JobClusterDefinitionImpl.java,io.mantisrx.server.master.domain.JobClusterDefinitionImpl$CompletedJob,getName/0,name,1
